latitude degree WGS84,longitude degree WGS84,altitude in meters AMSL,thermal probability in a circle with 250m radius around the hotspot
49.55397,18.29583,827,100
41.60947,12.93458,447,100
45.14706,5.63705,1809,100
46.65562,8.05519,2034,100
45.95666,6.47522,1917,100
38.06376,23.38192,687,100
46.83283,8.42165,1516,100
47.40487,9.92427,1110,100
38.67083,35.54364,1563,100
50.72342,16.20992,705,100
49.53239,21.71826,585,100
47.8932,8.5624,821,100
45.78574,11.56891,836,100
47.91209,19.75788,505,100
48.45889,17.41455,497,100
50.62185,14.05299,283,100
47.30144,15.4808,1024,100
47.00375,7.64561,691,100
43.03963,13.24398,1079,100
48.92654,-0.47361,43,100
46.18245,8.48378,2148,100
43.25111,26.92734,424,100
45.85501,11.82632,903,100
46.66462,8.62961,2599,100
46.56387,18.93999,88,100
46.96147,9.76196,1956,100
46.57196,14.41438,696,100
46.00883,8.5345,1534,100
46.23103,14.01622,1418,100
40.02235,22.27492,1127,100
48.43731,8.15409,714,100
45.79744,9.49187,1295,100
44.77094,5.79555,1246,100
49.63487,7.93219,500,100
42.0964,2.29324,1040,100
45.29099,5.83486,1259,100
46.71499,7.82187,1528,100
49.51172,21.64978,625,100
46.50719,11.73249,2615,100
47.28345,9.41325,1601,100
48.07937,8.0032,926,100
48.60458,14.04411,620,100
48.48497,8.23652,851,100
47.74032,12.40201,1077,100
43.97638,6.47902,1427,100
46.19505,8.90604,1199,100
47.60901,10.80936,994,100
44.39661,9.29152,534,100
46.77796,14.91525,1037,100
42.30161,18.888,686,100
49.74184,8.82235,374,100
46.85802,11.64499,2406,100
45.44571,5.96674,849,100
44.46949,1.36757,113,100
46.33718,7.95374,2280,100
47.23039,9.73026,1278,100
44.82043,9.06835,552,100
46.23193,13.62947,745,100
47.23309,13.13747,1842,100
40.48604,23.17016,410,100
49.43352,14.62995,488,100
46.44692,8.16804,2394,100
42.2287,1.32193,820,100
47.84824,10.2958,782,100
51.36066,-1.49057,179,100
50.87981,-2.28944,135,100
46.77886,13.11084,2029,100
47.26907,7.57207,1009,100
47.58204,11.0972,1570,100
53.95539,17.92557,139,100
48.68912,9.8279,636,100
47.56135,10.76117,1031,100
51.74713,9.34985,291,100
45.03279,5.56477,1538,100
48.99036,11.44211,461,100
40.53016,-7.45287,1005,100
46.64573,7.65322,2311,100
46.6961,7.8206,1153,100
48.67833,7.31339,456,100
47.30414,8.93647,1061,100
49.96476,6.99258,264,100
45.59324,25.66438,1058,100
46.85892,11.68811,2461,100
51.86937,-2.06753,167,100
42.81283,0.38865,1608,100
47.81856,13.71823,1499,100
47.67916,11.83013,1377,100
46.23103,7.52261,2100,100
50.63084,11.41421,349,100
51.7669,14.29518,64,100
46.4955,7.5429,1951,100
47.7628,8.55352,754,100
45.79114,9.77718,1123,100
46.77076,13.05251,1878,99
42.81823,1.39801,1336,99
45.8766,11.8707,969,99
45.79564,6.17596,1224,99
46.9003,8.44447,1984,99
45.83072,10.68129,1701,99
44.87262,1.44366,86,99
39.45781,20.54786,805,99
43.65514,11.59808,1170,99
40.42482,-5.3137,1750,99
47.28435,9.44622,1295,99
47.50649,11.14285,1692,99
46.22743,12.81032,868,99
47.31493,8.50661,754,99
47.73312,14.36366,1203,99
45.83522,6.27106,1553,99
47.03793,9.57176,2141,99
48.75298,9.81649,482,99
47.59103,13.02588,1365,99
46.88141,12.09134,2387,99
45.56625,25.56421,1707,99
45.48079,22.8113,933,99
45.48169,7.72296,1353,99
45.75516,11.39012,1072,99
46.51979,8.24539,2721,99
45.78035,11.58413,709,99
46.22203,12.81666,789,99
45.65891,8.07548,1394,99
45.78035,11.61456,755,99
44.04837,6.4562,1539,99
46.87691,11.91382,2165,99
47.45882,13.82601,2004,99
49.44431,14.61092,495,99
46.4874,8.22637,2436,99
46.83643,7.90176,1317,99
47.68906,12.88259,1596,99
46.51439,8.27456,2383,99
46.16266,8.53324,1911,99
51.08383,23.01419,201,99
45.54916,6.10368,863,99
52.99431,20.50094,124,99
38.29794,28.05082,1145,99
49.40565,8.72217,439,99
46.79505,12.99164,2076,99
49.687,19.03383,1141,99
46.20854,8.79192,1841,99
46.56297,7.11431,1133,99
45.83882,9.20529,1128,99
45.85591,18.40996,399,99
46.03312,11.32291,1279,99
45.77765,11.49663,665,99
47.41835,10.31736,1838,99
49.79128,19.22784,596,99
39.83327,-8.40516,557,99
47.65848,11.53341,1324,99
47.33022,7.64434,972,99
46.54767,11.25317,792,99
46.77976,13.26047,1762,99
47.01365,9.83551,2782,99
47.91928,7.88908,1084,99
45.60943,5.80189,1054,99
41.59958,12.93966,299,99
47.74661,12.06218,1011,99
51.02002,8.61946,364,99
46.78246,12.96882,1987,99
44.9959,7.4478,785,99
46.32008,12.7672,1380,99
48.06948,8.01461,1182,99
41.98299,12.79003,331,99
46.19234,8.44828,2255,99
51.07484,10.36808,334,99
46.22203,8.79952,2005,99
51.99699,12.96755,95,99
46.8922,12.13065,2387,99
43.88639,7.61898,626,99
46.02593,8.53197,1842,99
47.6216,12.43498,1692,99
46.65202,8.03236,2084,99
47.03793,9.75816,2335,99
46.18155,13.79558,985,99
46.76807,12.38933,2195,99
45.94587,13.77275,824,99
46.51169,8.253,2500,99
46.44062,11.82125,2716,99
45.52847,25.31694,1236,99
38.65371,21.39491,214,99
43.31499,2.88541,159,99
41.16396,24.15922,357,99
40.40321,-7.45414,826,99
46.23912,13.74866,1488,99
47.48581,13.24018,1761,99
39.429,21.63583,833,99
46.17885,12.15855,1254,99
47.14945,11.31277,1978,99
50.69556,16.32531,721,99
40.42932,-5.29975,1771,99
46.55037,7.8802,1802,99
46.45862,23.55183,843,99
45.75246,11.40533,818,99
46.8976,8.45589,2283,99
47.20701,10.93109,2013,99
46.21034,8.70315,1544,99
42.98293,0.88953,881,99
50.8879,-0.21874,72,99
46.92819,9.80634,1744,99
47.41656,12.2435,1683,99
47.39677,9.94075,1566,99
45.77765,9.7962,767,99
48.7197,12.07612,451,99
46.11678,8.44447,1611,99
51.24112,10.07517,515,99
47.65398,14.16711,1673,99
43.2646,27.28493,265,99
40.44822,15.04966,193,99
45.80914,6.18103,975,99
48.06138,7.99813,1024,99
47.09999,11.2519,2073,99
45.91348,8.38234,1301,99
47.72413,18.80305,482,99
40.8786,17.28521,233,99
48.52724,17.38665,536,99
45.78485,11.48522,1085,99
38.74288,-1.01506,1009,99
46.54227,18.94253,87,99
40.13669,-0.22508,627,99
38.75729,16.20484,206,99
41.41687,-7.91951,799,99
40.95604,20.80908,1423,99
46.27691,13.45194,1534,99
45.82083,9.47158,1163,99
52.07698,-2.33762,282,99
49.39846,12.05076,370,99
42.04419,0.74751,1499,99
45.92878,6.84041,2092,99
45.16145,7.46555,949,99
47.01724,8.78684,1626,99
47.73222,12.6404,1236,99
41.58427,12.96882,323,99
47.2223,11.82759,1999,99
47.23849,14.5881,1181,99
46.77346,11.72361,1646,99
46.20674,8.90604,1842,99
47.02714,9.80127,2617,99
48.54972,9.40184,600,99
45.08768,5.81457,981,99
51.98261,9.62501,294,99
44.89962,1.65035,114,99
47.56675,10.60394,1198,99
46.87241,12.08246,2402,99
46.16356,6.53608,1592,99
49.5306,18.16269,713,99
45.82803,9.30801,782,99
44.25803,6.47395,2133,99
43.81171,10.42388,275,99
46.62324,7.63927,1817,99
45.65531,8.08942,1263,99
49.14497,22.34593,961,99
46.17166,8.5941,1689,99
47.22589,14.16077,1743,99
47.82755,16.0438,824,99
43.72352,6.94566,1117,99
47.38418,9.96738,1590,99
46.19234,12.35382,1499,99
46.23912,13.64088,1145,99
47.32482,10.03586,1660,99
46.25082,13.6003,648,99
45.43941,7.66463,1160,99
45.84332,9.32069,1238,99
39.4461,21.61301,920,99
46.53058,11.59681,1759,99
46.32818,13.10196,1032,99
50.10678,7.11431,361,99
45.58964,7.97403,1112,99
48.45709,8.25807,804,99
47.65398,18.43658,397,99
38.19526,23.2678,834,99
44.68186,6.22161,1527,99
48.75837,8.4039,778,99
47.92828,14.32562,1004,99
46.36956,8.01461,2157,99
48.59739,13.90336,617,99
